text,audio
في العمارة الحديثة، يُستخدم الباركيه الروسي لإعطاء لمسة من الأناقة والدفء.,"{'bytes': None, 'path': 'audiosamples/audio_31.wav'}"
"Анда (Indonesian for ""you"") es (Spanish for ""is"") очень (Russian for ""very"") مبدع (Standard Arabic for ""creative"").","{'bytes': None, 'path': 'audiosamples/audio_32.wav'}"
আমরা (Bengali) جميعًا (Standard Arabic) انسان کی (Urdu) persatuan (Indonesian)।,"{'bytes': None, 'path': 'audiosamples/audio_33.wav'}"
"ذهبت إلى السوق لشراء الفواكه مثل ""dứa"" و ""măng cụt"" لأنها لذيذة جدًا في فصل الصيف.","{'bytes': None, 'path': 'audiosamples/audio_34.wav'}"
Kemarin (Indonesian) أنا (Arabic) खाना (Hindi) gegessen und es war sehr lecker (German).,"{'bytes': None, 'path': 'audiosamples/audio_35.wav'}"
"Моя мечта - это путешествовать по миру, واكتشاف ثقافات جديدة, এবং বিভিন্ন ভাষা শিখতে, cũng như thưởng thức ẩm thực độc đáo.","{'bytes': None, 'path': 'audiosamples/audio_36.wav'}"
"প্যারিসে আমরা “أصدقاء” এবং friends, partageant des moments inoubliables sur la Seine.","{'bytes': None, 'path': 'audiosamples/audio_37.wav'}"
"Le professeur أحمد said, ""To learn a new language, il faut pratiquer chaque jour.""","{'bytes': None, 'path': 'audiosamples/audio_38.wav'}"
لقد زرت باريس وكانت magnifique، حيث الجمال يلتقي التقاليد العربية والفن الفرنسي.,"{'bytes': None, 'path': 'audiosamples/audio_39.wav'}"
"La journée est belle بالرغم من البرد, và tôi muốn đi dạo.","{'bytes': None, 'path': 'audiosamples/audio_40.wav'}"
"هذه القطعة الفنية الرائعة, nghệ thuật tuyệt vời này, 这件精美的艺术品, est absolument magnifique.","{'bytes': None, 'path': 'audiosamples/audio_41.wav'}"
Mi amigo preparó un delicioso كبسة y juntos disfrutamos de la موسيقى tradicional bajo las estrellas.,"{'bytes': None, 'path': 'audiosamples/audio_42.wav'}"
"أنا أحب أن أتعلم لغات مختلفة مثل الصينية 我喜欢学习不同的语言，比如西班牙语 me encanta aprender idiomas diferentes, como el turco ve Türkçe'yi öğrenmekten keyif alıyorum.","{'bytes': None, 'path': 'audiosamples/audio_43.wav'}"
"Eu أحب người yêu tôi, dan mereka selalu berada di hati saya.","{'bytes': None, 'path': 'audiosamples/audio_44.wav'}"
在东京的清晨，日本的樱花与中文的“美丽”一起绽放，في حين أن الشعر العربي يضيف عمقًا للجمال، اردو کا ایک شاعر بھی تعریف کرتا ہے۔,"{'bytes': None, 'path': 'audiosamples/audio_45.wav'}"
"Каждый вечер, после работы, я люблю расслабиться и читать книгу, попивая чашечку арабского قهوة, наслаждаясь её богатым ароматом и вкусом.","{'bytes': None, 'path': 'audiosamples/audio_46.wav'}"
"Анда (Indonesian for ""you"") es (Spanish for ""is"") очень (Russian for ""very"") مبدع (Standard Arabic for ""creative"").","{'bytes': None, 'path': 'audiosamples/audio_47.wav'}"
"جادة الشانزليزيه مكان رائع للتنزه و keyifli vakit geçirmek için ideal, avec des amis.","{'bytes': None, 'path': 'audiosamples/audio_48.wav'}"
Мой друг из Индонезии учится читать العربية und er liebt die deutsche Kultur.,"{'bytes': None, 'path': 'audiosamples/audio_49.wav'}"
"La niña dijo ""ich liebe Fußball"" enquanto a bola rolava no campo sob o céu مشمس.","{'bytes': None, 'path': 'audiosamples/audio_50.wav'}"
"मुझे encanta की फở phở, وأنا أستمتع به كثيرًا.","{'bytes': None, 'path': 'audiosamples/audio_51.wav'}"
"مرحباً, मैं اُر्दُو और français अच्छी तरह बोल सकता हूँ।","{'bytes': None, 'path': 'audiosamples/audio_52.wav'}"
"الطقس اليوم مشمس وجميل، وأشعر بالرغبة في شرب كوب من الشاي الأخضر الصيني ""绿茶"" في الحديقة.","{'bytes': None, 'path': 'audiosamples/audio_53.wav'}"
"Yarın, إن شاء الله, мы будем отмечать Tết с tradisyonal Türk lezzetleri.","{'bytes': None, 'path': 'audiosamples/audio_54.wav'}"
Вчера я увидел красивую сакуру и قلبي امتلأ بالسلام، さくらの下で平和を感じました، اور میں نے دعا کی کہ یہ لمحات ہمیشہ رہیں.,"{'bytes': None, 'path': 'audiosamples/audio_55.wav'}"
"الغابة الخضراء في ألمانيا جميلة, und wenn Sie Glück haben, könnten Sie einen cá mập sehen, mientras disfrutas de un delicioso café.","{'bytes': None, 'path': 'audiosamples/audio_56.wav'}"
"この素敵なパーティーへようこそ、Herzlich willkommen, أتمنى لكم وقتاً ممتعاً, y espero que todos disfruten de la velada.","{'bytes': None, 'path': 'audiosamples/audio_57.wav'}"
Viele Menschen finden die Kombination aus Deutsch und اللغة العربية الفصحى besonders faszinierend und bereichernd für das kulturelle Verständnis.,"{'bytes': None, 'path': 'audiosamples/audio_58.wav'}"
"The student said, ""আমি শিখতে চাই,"" which means ""أريد أن أتعلم"" in Arabic, and ""Quiero aprender"" in Spanish.","{'bytes': None, 'path': 'audiosamples/audio_59.wav'}"
"La niña dijo en español ""amor"", بالعربية ""حب"", e em português ""amor"", mostrando que algunas palabras son universales.","{'bytes': None, 'path': 'audiosamples/audio_60.wav'}"
"The Bengali word ""ভালো"" means ""good"" in English, ""bom"" in Portuguese, and ""جيد"" in Standard Arabic.","{'bytes': None, 'path': 'audiosamples/audio_61.wav'}"
"أحب أن أتعلم اللغة الألمانية, denn es eröffnet neue Horizonte und Kulturen.","{'bytes': None, 'path': 'audiosamples/audio_62.wav'}"
غالباً ما يذهب الطلاب إلى المكتبة لقراءة المانغا لأن ثقافة الأنمي شائعة جدًا بينهم.,"{'bytes': None, 'path': 'audiosamples/audio_63.wav'}"
"La 🌎 es bella y رائعة, with un ciel bleu et des gens de toutes cultures.","{'bytes': None, 'path': 'audiosamples/audio_64.wav'}"
"تركيب اللغات المتعددة مثير للإعجاب, ve çok yönlü bir iletişim şeklidir, además facilita el entendimiento cultural, и обогащает наши знания.","{'bytes': None, 'path': 'audiosamples/audio_65.wav'}"
この素晴らしい日に、Все люди должны жить в мире والحب يجمعنا.,"{'bytes': None, 'path': 'audiosamples/audio_66.wav'}"
"""The café আমি люблю, serves القهوة that transcends languages.""","{'bytes': None, 'path': 'audiosamples/audio_67.wav'}"
"هذا الجملة تحتوي على كلمات بالعربية, и по-русски, cũng như tiếng Việt, そして日本語で書かれています。","{'bytes': None, 'path': 'audiosamples/audio_68.wav'}"
"Le Chat noir (French) sagt ""Guten Tag"" (German) إلى صديقه (Standard Arabic) while strolling through the English garden.","{'bytes': None, 'path': 'audiosamples/audio_69.wav'}"
"إن تقدير ""ভালোবাসা"" يعبر عن عمق المشاعر في الثقافة البنغالية ويظهر الوحدة العاطفية مع العالم العربي.","{'bytes': None, 'path': 'audiosamples/audio_70.wav'}"
سفر (safar) العلم (ilm) путешествие (puteshestvie) ilmu adalah مغامرة (mughāmara) ум (um) yang مثيرة (muthirah).,"{'bytes': None, 'path': 'audiosamples/audio_71.wav'}"
"В Каире (Cairo), я встретил человека, который говорил по-английски и писал стихи на العربية.","{'bytes': None, 'path': 'audiosamples/audio_72.wav'}"
"मुसाफिर ने कहा, ""これは美しい旅です,"" وأضاف, ""es una experiencia inolvidable.""","{'bytes': None, 'path': 'audiosamples/audio_73.wav'}"
"Die Universität المانيا bietet an excellent برنامج in engineering und Technologie, der studenten für globale Herausforderungen vorbereitet.","{'bytes': None, 'path': 'audiosamples/audio_74.wav'}"
"Ich finde Bánh mì نَجيب sehr lecker und einzigartig, was Kulturen verbindet.","{'bytes': None, 'path': 'audiosamples/audio_75.wav'}"
میرا نام علی ہے اور میں لکھتا ہوں: الحياة جميلة بكل تفاصيلها.,"{'bytes': None, 'path': 'audiosamples/audio_76.wav'}"
"Каждый день (Russian for 'Every day'), eu aprendo (Portuguese for 'I learn') algo nuevo (Spanish for 'something new') ومثير للاهتمام (Standard Arabic for 'and interesting').","{'bytes': None, 'path': 'audiosamples/audio_77.wav'}"
Kemarin (Indonesian) أنا (Arabic) खाना (Hindi) gegessen und es war sehr lecker (German).,"{'bytes': None, 'path': 'audiosamples/audio_78.wav'}"
"Мой друг (my friend), siempre (always) فاز (wins) جميع (all) المسابقات (competitions) اور وہ (and he) ہمیشہ (always) ayuda (helps) другим (others).","{'bytes': None, 'path': 'audiosamples/audio_79.wav'}"
الحياة جميلة 人生は美しいです 生活是美丽的 জীবন সুন্দর।,"{'bytes': None, 'path': 'audiosamples/audio_80.wav'}"
আমি এই কফি খুব পছন্দ করি، কারণ c'est très délicieux و يحتوي على نكهات مميزة kişilere neşe verir.,"{'bytes': None, 'path': 'audiosamples/audio_81.wav'}"
Anak saya makan phở trong khi menulis بالخط العربي et apprendre des mots français.,"{'bytes': None, 'path': 'audiosamples/audio_82.wav'}"
أنا أحب الاستماع إلى الموسيقى البرتغالية وهي تجعلني أشعر بالسعادة والهدوء.,"{'bytes': None, 'path': 'audiosamples/audio_83.wav'}"
میں yêu cái cách bạn nói tiếng Nhật: ありがとう.,"{'bytes': None, 'path': 'audiosamples/audio_84.wav'}"
"""The বই किताब (book) is ممتاز (excellent) for learning languages.""","{'bytes': None, 'path': 'audiosamples/audio_85.wav'}"
"Tôi rất thích học các ngôn ngữ mới, và hôm nay tôi đã học được từ ""مكتبة"" (thư viện) và ""سلام"" (xin chào) trong tiếng Ả Rập.","{'bytes': None, 'path': 'audiosamples/audio_86.wav'}"
بهروز (Urdu for happy) живет (Russian for lives) di sebuah pulau (Indonesian for on an island) جميلة (Arabic for beautiful).,"{'bytes': None, 'path': 'audiosamples/audio_87.wav'}"
"La niña dijo ""حب"" khi cô ấy cantou uma canção suave.","{'bytes': None, 'path': 'audiosamples/audio_88.wav'}"
"Анда (Indonesian for ""you"") es (Spanish for ""is"") очень (Russian for ""very"") مبدع (Standard Arabic for ""creative"").","{'bytes': None, 'path': 'audiosamples/audio_89.wav'}"
سفر (safar) العلم (ilm) путешествие (puteshestvie) ilmu adalah مغامرة (mughāmara) ум (um) yang مثيرة (muthirah).,"{'bytes': None, 'path': 'audiosamples/audio_90.wav'}"
أحب أن أقضي وقتي في تعلم اللغة العربية وأيضاً احتساء الشاي الأخضر الصيني يومياً.,"{'bytes': None, 'path': 'audiosamples/audio_91.wav'}"
"Tôi thấy hòa bình (سلام) và tình bạn là những (قيم) quan trọng nhất trong cuộc sống, và chúng ta nên làm việc cùng nhau để đạt được (تقدم) và (ازدهار).","{'bytes': None, 'path': 'audiosamples/audio_92.wav'}"
استخدمت الكمبيوتر لتحميل أحدث إصدار من البرمجيات لتحسين أداء النظام.,"{'bytes': None, 'path': 'audiosamples/audio_93.wav'}"
الحديقة está llena de цветы et de la joie de vivre.,"{'bytes': None, 'path': 'audiosamples/audio_94.wav'}"
"Когда я поехал в Москву, я забронировал отель, который называется ""فندق السلام"", что означает ""Гостиница Мира"".","{'bytes': None, 'path': 'audiosamples/audio_95.wav'}"
Amor (爱) 愛は世界をつなぐ力であり、الحب قادر على تجاوز الحدود واللغات.,"{'bytes': None, 'path': 'audiosamples/audio_96.wav'}"
بهروز (Urdu for happy) живет (Russian for lives) di sebuah pulau (Indonesian for on an island) جميلة (Arabic for beautiful).,"{'bytes': None, 'path': 'audiosamples/audio_97.wav'}"
"В Каире (Cairo), я встретил человека, который говорил по-английски и писал стихи на العربية.","{'bytes': None, 'path': 'audiosamples/audio_98.wav'}"
"Le Chat noir (French) sagt ""Guten Tag"" (German) إلى صديقه (Standard Arabic) while strolling through the English garden.","{'bytes': None, 'path': 'audiosamples/audio_99.wav'}"
今天天气很好，وأنا أريد أن أذهب للنزهة في الحديقة، آج موسم بہار کا خوبصورت دن ہے۔,"{'bytes': None, 'path': 'audiosamples/audio_100.wav'}"
Mình yêu hòa bình 和平، والتفاهم بين شعوب العالم.,"{'bytes': None, 'path': 'audiosamples/audio_101.wav'}"
"मेरा नाम أحمد है, y me gusta 学习新语言।","{'bytes': None, 'path': 'audiosamples/audio_102.wav'}"
سفر (safar) العلم (ilm) путешествие (puteshestvie) ilmu adalah مغامرة (mughāmara) ум (um) yang مثيرة (muthirah).,"{'bytes': None, 'path': 'audiosamples/audio_103.wav'}"
"مرحباً بك في إسطنبول، where you can enjoy çay and sushinin lezzetini, all while discussing technology and 明日の予定.","{'bytes': None, 'path': 'audiosamples/audio_104.wav'}"
"Мой друг (my friend), siempre (always) فاز (wins) جميع (all) المسابقات (competitions) اور وہ (and he) ہمیشہ (always) ayuda (helps) другим (others).","{'bytes': None, 'path': 'audiosamples/audio_105.wav'}"
"El gato negro (Spanish) dedi ki: ""Merhaba"" (Turkish), و قال ""سلام عليكم"" (Standard Arabic) للجميع في الغرفة.","{'bytes': None, 'path': 'audiosamples/audio_106.wav'}"
"मेरा दोस्त 'صديقي' तुर्की में एक अद्भुत त्योहार में शामिल हुआ, जिसे 'harika bir festival' कहते हैं।","{'bytes': None, 'path': 'audiosamples/audio_107.wav'}"
"Pada musim semi di Berlin, يمشي الناس في حديقة тропический в то время как они belajar kata-kata baru.","{'bytes': None, 'path': 'audiosamples/audio_108.wav'}"
میرا نام احمد ہے، وأنا من باكستان - أحب تعلم اللغة العربية لأنها جميلة.,"{'bytes': None, 'path': 'audiosamples/audio_109.wav'}"
"Ketika aku pergi ke pasar, saya melihat banyak orang yang berbicara dalam bahasa Arab, mereka sering menggunakan kata-kata seperti ""salam"" untuk menyapa dan ""insha'Allah"" ketika mereka berbicara tentang masa depan.","{'bytes': None, 'path': 'audiosamples/audio_110.wav'}"
"在沙漠中，محمد قال: ""Дружба не знает границ,"" và Hào đồng ý.","{'bytes': None, 'path': 'audiosamples/audio_111.wav'}"
میرا نام علی ہے، وأنا أدرس اللغة العربية و الأردوية.,"{'bytes': None, 'path': 'audiosamples/audio_112.wav'}"
"I love موسيقى and música, которая соединяет людей в гармонии.","{'bytes': None, 'path': 'audiosamples/audio_113.wav'}"
"""The বই किताब (book) is ممتاز (excellent) for learning languages.""","{'bytes': None, 'path': 'audiosamples/audio_114.wav'}"
سافرت إلى جاكرتا لتعلم اللغة الإندونيسية وimproved my English on the way.,"{'bytes': None, 'path': 'audiosamples/audio_115.wav'}"
"El niño dijo en árabe ""أحب البحر"" y en francés ""J'adore la mer"", tandis que en vietnamita, anh ấy nói ""Tôi yêu biển"".","{'bytes': None, 'path': 'audiosamples/audio_116.wav'}"
El gato أحبُّ ねこを kucing yang lucu dan cerdas.,"{'bytes': None, 'path': 'audiosamples/audio_117.wav'}"
センセイが寒い日に「مرحباً، أريد كوباً من الشاي」と言いながら、çay için teşekkür ederim.,"{'bytes': None, 'path': 'audiosamples/audio_118.wav'}"
"В Каире (Cairo), я встретил человека, который говорил по-английски и писал стихи на العربية.","{'bytes': None, 'path': 'audiosamples/audio_119.wav'}"
"मैं एक समझदार इंसान हूँ, Ich lerne gerne neue Sprachen, وأنا أقدّر الثقافات المختلفة.","{'bytes': None, 'path': 'audiosamples/audio_120.wav'}"
میں आपकी मदद کरنे के लिए hazırım ve امید hai ki biz başaracağız.,"{'bytes': None, 'path': 'audiosamples/audio_121.wav'}"
"这个句子中，我们可以说“Merhaba,” যা মানে হল ""হ্যালো,"" ويعبر عن الترحيب بكل لغة.","{'bytes': None, 'path': 'audiosamples/audio_122.wav'}"
मैं खुश हूँ أنا مسرور خوشحال ہوں tôi rất hạnh phúc.,"{'bytes': None, 'path': 'audiosamples/audio_123.wav'}"
"Le chat (French for ""the cat"") बगीचे में सो रहा है (Hindi for ""is sleeping in the garden"") والقمر (Arabic for ""and the moon"") shines bright tonight.","{'bytes': None, 'path': 'audiosamples/audio_124.wav'}"
السفر إلى برلين مع Freunde é uma experiência única que enrichit l'esprit et crée des souvenirs inoubliables.,"{'bytes': None, 'path': 'audiosamples/audio_125.wav'}"
"В Каире (Cairo), я встретил человека, который говорил по-английски и писал стихи на العربية.","{'bytes': None, 'path': 'audiosamples/audio_126.wav'}"
الطالبة النشيطة تذاكر كثيراً لاختبار الرياضيات وهي تحب أن تستمع إلى الموسيقى الفادو البرتغالية أثناء الاستراحة.,"{'bytes': None, 'path': 'audiosamples/audio_127.wav'}"
بهروز (Urdu for happy) живет (Russian for lives) di sebuah pulau (Indonesian for on an island) جميلة (Arabic for beautiful).,"{'bytes': None, 'path': 'audiosamples/audio_128.wav'}"
আমরা (Bengali) جميعًا (Standard Arabic) انسان کی (Urdu) persatuan (Indonesian)।,"{'bytes': None, 'path': 'audiosamples/audio_129.wav'}"
Bạn cần điều gì من فضلك?,"{'bytes': None, 'path': 'audiosamples/audio_130.wav'}"
"这个句子包括多种语言：Турецкий язык, 简体中文, اللغة العربية الفصحى, и Русский язык, которые вместе показывают красоту языкового разнообразия.","{'bytes': None, 'path': 'audiosamples/audio_131.wav'}"
La amistad مضبوط ہوتی ہے عندما نتشارك تجاربنا 和共同的目标。,"{'bytes': None, 'path': 'audiosamples/audio_132.wav'}"
昨日、私は新しい「كتاب」を買って、その「محتوى」が非常に興味深いことを発見しました。,"{'bytes': None, 'path': 'audiosamples/audio_133.wav'}"
"Guten Tag, como você está? أنا بخير, ধন্যবাদ।","{'bytes': None, 'path': 'audiosamples/audio_134.wav'}"
مجھے استنبول بہت پسند ہے، وہاں کی مسجد ايا صوفيا عظمت و تاریخ سے بھرپور ہے، و انا احب التنقل بين الأزقة التاريخية.,"{'bytes': None, 'path': 'audiosamples/audio_135.wav'}"
Kemarin (Indonesian) أنا (Arabic) खाना (Hindi) gegessen und es war sehr lecker (German).,"{'bytes': None, 'path': 'audiosamples/audio_136.wav'}"
今天天气非常好，适合去公园散步和享受阳光的دفء。,"{'bytes': None, 'path': 'audiosamples/audio_137.wav'}"
"تركيا، التي يطلق عليها ""Türkiye"" بالتركية، هي جسر بين الشرق والغرب وتحتضن الثقافات المتعددة.","{'bytes': None, 'path': 'audiosamples/audio_138.wav'}"
قررت أن أدرس الهايكو، لكن صديقي فضل تعلم الكاراتيه لأنه يعتبره رياضة وفناً يابانياً رائعاً.,"{'bytes': None, 'path': 'audiosamples/audio_139.wav'}"
আমি (Bengali) أحب (Standard Arabic) सीखना (Hindi) ہے (Urdu)।,"{'bytes': None, 'path': 'audiosamples/audio_140.wav'}"
تركيا، بلد جميل حيث يمكنك الاستمتاع بالثقافة الغنية والطبيعة الخلابة، كما تقدّم لك الضيافة التركية الحارة دائماً.,"{'bytes': None, 'path': 'audiosamples/audio_141.wav'}"
আমি (Bengali) أحب (Standard Arabic) सीखना (Hindi) ہے (Urdu)।,"{'bytes': None, 'path': 'audiosamples/audio_142.wav'}"
"আমি (Bengali for ""I"") أحب (Arabic for ""love"") 学习 (Mandarin for ""to learn"") 新的语言 (Mandarin for ""new languages"").","{'bytes': None, 'path': 'audiosamples/audio_143.wav'}"
"Anh ấy nói tiếng Đức rất ""gut"" و قرر أن يتعلم viết tiếng Việt trong khi ở Berlin.","{'bytes': None, 'path': 'audiosamples/audio_144.wav'}"
"""السفر إلى بالي est une expérience inoubliable, menyatu dengan الطبيعة et la culture riche.""","{'bytes': None, 'path': 'audiosamples/audio_145.wav'}"
"میں love فن der Kunst, which جمع الثقافات verschiedener Länder in harmonischer اتحاد.","{'bytes': None, 'path': 'audiosamples/audio_146.wav'}"
"Каждый день (Russian for 'Every day'), eu aprendo (Portuguese for 'I learn') algo nuevo (Spanish for 'something new') ومثير للاهتمام (Standard Arabic for 'and interesting').","{'bytes': None, 'path': 'audiosamples/audio_147.wav'}"
"La أمل (esperanza) es como el sol, que arroja su luz en todas direcciones.","{'bytes': None, 'path': 'audiosamples/audio_148.wav'}"
यह जरूरी है que nous travaillons ensemble لتحقيق السلام العالمي.,"{'bytes': None, 'path': 'audiosamples/audio_149.wav'}"
"Amor (Portuguese for love), محبة (Standard Arabic for love), and love (English) are universal feelings that connect us across cultures.","{'bytes': None, 'path': 'audiosamples/audio_150.wav'}"
This English sentence مع بعض الكلمات العربية também tem palavras em português.,"{'bytes': None, 'path': 'audiosamples/audio_151.wav'}"
Amor (爱) 愛は世界をつなぐ力であり、الحب قادر على تجاوز الحدود واللغات.,"{'bytes': None, 'path': 'audiosamples/audio_152.wav'}"
A vida (Portuguese) في الطبيعة (Standard Arabic) adalah indah (Indonesian) und wunderbar (German).,"{'bytes': None, 'path': 'audiosamples/audio_153.wav'}"
我喜欢在图书馆学习阿拉伯语，因为那里很宁静：أحب الدراسة في المكتبة لأنها هادئة.,"{'bytes': None, 'path': 'audiosamples/audio_154.wav'}"
"في عطلتي القادمة، أنوي زيارة ""هانوي"" واستكشاف مطبخها الغني بأطباق مثل ""phở"" و""bánh mì"" بينما أتعلم كلمات فيتنامية جديدة.","{'bytes': None, 'path': 'audiosamples/audio_155.wav'}"
في كل صباح، أحب أن أشرب كوباً من الشاي (چائے) المعطر بالهيل (الائچی) وأتناول بعض السموسه (سموسہ) اللذيذة.,"{'bytes': None, 'path': 'audiosamples/audio_156.wav'}"
"أنا أحب قراءة كتب Goethe, e a sua influência na literatura é global.","{'bytes': None, 'path': 'audiosamples/audio_157.wav'}"
"أحب كيف تتدفق الأنهار في الهند, और वहां के लोगों की मित्रता, trong khi ở Việt Nam, a comida é saborosa.","{'bytes': None, 'path': 'audiosamples/audio_158.wav'}"
"In München, أحب السفر إلى المدن الجميلة, surtout quand il fait beau, and I enjoy the blend of cultures.","{'bytes': None, 'path': 'audiosamples/audio_159.wav'}"
في كل صباح، أحب أن أشرب كوباً من الشاي (چائے) المعطر بالهيل (الائچی) وأتناول بعض السموسه (سموسہ) اللذيذة.,"{'bytes': None, 'path': 'audiosamples/audio_160.wav'}"
"عندما يقول الألمان ""Willkommen"", يشعر الضيوف الإسبان بالدفء والترحيب مثل كلمة ""Bienvenidos"".","{'bytes': None, 'path': 'audiosamples/audio_161.wav'}"
"Saya suka makan nasi, y los días soleados son hermosos, وأحب قراءة الكتب الجيدة.","{'bytes': None, 'path': 'audiosamples/audio_162.wav'}"
سفر (safar) العلم (ilm) путешествие (puteshestvie) ilmu adalah مغامرة (mughāmara) ум (um) yang مثيرة (muthirah).,"{'bytes': None, 'path': 'audiosamples/audio_163.wav'}"
میری دوست نے مجھے القصيدة (قصیدہ) کی ایک خوبصورت مصرع سنایا جو اس نے الفصاحة (فصیح عربی) میں لکھا تھا۔,"{'bytes': None, 'path': 'audiosamples/audio_164.wav'}"
أنا أحب تناول البو (phở) كوجبة إفطار، لأنها شهية وطازجة وتمنحني الطاقة لبدء يومي.,"{'bytes': None, 'path': 'audiosamples/audio_165.wav'}"
"Le Chat noir (French) sagt ""Guten Tag"" (German) إلى صديقه (Standard Arabic) while strolling through the English garden.","{'bytes': None, 'path': 'audiosamples/audio_166.wav'}"
"El gato negro (Spanish) dedi ki: ""Merhaba"" (Turkish), و قال ""سلام عليكم"" (Standard Arabic) للجميع في الغرفة.","{'bytes': None, 'path': 'audiosamples/audio_167.wav'}"
